house_id,dwelling,dwelling_grade,household_m2,size_grade,bedrooms,years,old,heating_source,area_code,occupants,children,teenagers,adults,elders,ainc,adec,agauge,fulltimers,parttimers,grads,postgrads,education_index,income,recycling,energy_class,thermostats,water_heater,smart_plugs,awareness,start,end,days,kwhs,kwh/day,kwh/day/m2,hdd,cdd
46,Appartment,0.0,90,0.4,2.0,30+,1.0,No,54639,2,0,0,2,0,1.8,1.5,2.0,1,0,2,0,0.9444444444,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-06-10,2021-09-12,94,420.0,4.468085106,0.04964539007,0.0,501.513
47,Semidetached,0.7,110,0.6,2.0,30+,1.0,Yes,54640,2,0,0,2,0,1.8,1.5,2.0,1,0,1,0,0.8888888889,"0 - 10,000€",Rarely,Sometimes,Often or Always,Yes,Rarely,Rarely,2021-08-25,2021-12-27,124,788.0,6.35483871,0.057771261,308.996,83.192
48,Semidetached,0.7,110,0.6,2.0,30+,1.0,Yes,54640,2,0,0,2,0,1.8,1.5,2.0,1,0,1,0,0.8888888889,"0 - 10,000€",Rarely,Sometimes,Often or Always,Yes,Rarely,Rarely,2021-05-25,2021-09-27,125,360.0,2.88,0.02618181818,0.625,545.125
49,Townhome,0.4,25,0.0,1.0,30+,1.0,Yes,54640,2,0,0,2,0,1.8,1.5,2.0,2,0,2,0,0.9444444444,"0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-08-23,2021-12-21,120,872.0,7.266666667,0.2906666667,248.462,93.063
49,Townhome,0.4,25,0.0,1.0,30+,1.0,Yes,54640,2,0,0,2,0,1.8,1.5,2.0,2,0,2,0,0.9444444444,"0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-08-23,2021-12-21,120,872.0,7.266666667,0.2906666667,248.462,93.063
50,Appartment,0.0,75,0.2,2.0,30+,1.0,No,54642,2,0,0,2,0,1.8,1.5,2.0,1,1,1,0,0.8888888889,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-08-25,2021-12-23,120,767.0,6.391666667,0.08522222222,271.562,83.192
51,Appartment,0.0,50,0.0,1.0,6 - 15,0.33,No,54642,1,0,0,1,0,0.9,0.75,1.0,0,0,0,0,0.8333333333,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2021-10-22,2022-02-21,122,196.0,1.606557377,0.03213114754,727.761,0.0
52,Appartment,0.0,50,0.0,,30+,1.0,Yes,54642,2,0,0,2,0,1.8,1.5,2.0,2,0,2,1,0.9722222222,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-10-13,2022-02-13,123,2013.0,16.36585366,0.3273170732,678.768,0.0
52,Appartment,0.0,50,0.0,,30+,1.0,Yes,54642,2,0,0,2,0,1.8,1.5,2.0,2,0,2,1,0.9722222222,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-06-12,2021-10-12,122,1634.0,13.39344262,0.2678688525,1.662,527.988
53,Appartment,0.0,49,0.0,1.0,30+,1.0,Yes,54642,2,0,0,2,0,1.8,1.5,2.0,1,1,2,1,0.9722222222,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-06-13,2021-10-13,122,1680.0,13.7704918,0.281030445,2.542,526.987
53,Appartment,0.0,49,0.0,1.0,30+,1.0,Yes,54642,2,0,0,2,0,1.8,1.5,2.0,1,1,2,1,0.9722222222,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-10-13,2022-02-13,123,2013.0,16.36585366,0.3339970134,678.768,0.0
54,Appartment,0.0,115,0.6,3.0,0 - 5,0.0,No,54643,2,0,0,2,0,1.8,1.5,2.0,1,0,2,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Sometimes,Rarely,Yes,Rarely,Rarely,2021-10-25,2022-02-23,121,375.0,3.099173554,0.02694933525,741.243,0.0
55,Appartment,0.0,115,0.6,3.0,0 - 5,0.0,No,54643,2,0,0,2,0,1.8,1.5,2.0,1,0,2,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Sometimes,Rarely,Yes,Rarely,Rarely,2021-07-25,2021-09-10,47,223.0,4.744680851,0.04125809436,0.0,267.179
56,Appartment,0.0,64,0.2,1.0,16 - 30,0.66,No,54646,2,0,0,2,0,1.8,1.5,2.0,2,0,2,2,1.0,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2020-11-11,2021-03-19,128,617.0,4.8203125,0.07531738281,714.879,0.0
56,Appartment,0.0,64,0.2,1.0,16 - 30,0.66,No,54646,2,0,0,2,0,1.8,1.5,2.0,2,0,2,2,1.0,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2020-07-17,2020-11-17,123,558.0,4.536585366,0.07088414634,31.446,311.046
57,Appartment,0.0,117,0.6,3.0,16 - 30,0.66,No,54648,3,0,0,3,0,2.7,2.25,3.0,2,0,1,0,0.8703703704,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Sometimes,2021-09-14,2022-01-17,125,944.0,7.552,0.06454700855,488.471,26.575
57,Appartment,0.0,117,0.6,3.0,16 - 30,0.66,No,54648,3,0,0,3,0,2.7,2.25,3.0,2,0,1,0,0.8703703704,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Sometimes,2021-08-14,2021-11-14,92,470.0,5.108695652,0.0436640654,60.062,142.571
58,Appartment,0.0,75,0.2,3.0,0 - 5,0.0,No,55131,2,0,0,2,0,1.8,1.5,2.0,1,0,2,1,0.9722222222,"10,001€ - 20,000€",Sometimes,Often or Always,Sometimes,No,Rarely,Sometimes,2021-11-01,2022-01-31,91,170.0,1.868131868,0.02490842491,568.299,0.0
58,Appartment,0.0,75,0.2,3.0,0 - 5,0.0,No,55131,2,0,0,2,0,1.8,1.5,2.0,1,0,2,1,0.9722222222,"10,001€ - 20,000€",Sometimes,Often or Always,Sometimes,No,Rarely,Sometimes,2021-06-01,2021-09-30,121,90.0,0.7438016529,0.009917355372,1.558,588.742
59,Townhome,0.4,100,0.4,3.0,16 - 30,0.66,No,55132,2,0,0,1,1,1.9,1.25,1.75,1,0,1,0,0.8888888889,"10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Sometimes,2021-10-29,2022-02-25,119,1198.0,10.06722689,0.1006722689,741.5,0.0
59,Townhome,0.4,100,0.4,3.0,16 - 30,0.66,No,55132,2,0,0,1,1,1.9,1.25,1.75,1,0,1,0,0.8888888889,"10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Sometimes,2021-06-28,2021-10-29,123,971.0,7.894308943,0.07894308943,35.337,503.321
60,Appartment,0.0,122,0.6,3.0,16 - 30,0.66,No,55132,2,0,0,2,0,1.8,1.5,2.0,1,1,1,1,0.9166666667,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2021-11-05,2022-01-07,63,506.0,8.031746032,0.06583398387,354.389,0.0
